2 5
2 6 0
2 6 1
2 6 4
2 21
3 1 0
3 1 5
3 4
3 6
3 8
3 21
5 0
5 23
7 0
7 1
7 3
7 4
7 5
7 6
7 8
7 10
7 11
7 21
8 5
8 6 0
8 6 1
8 6 4
8 21
10 0
10 1 5
10 1 6
10 1 8
10 4
10 5 6
10 21 1
10 21 5
10 21 6
10 21 24
11 0
11 1
11 2
11 4
11 6
11 8
11 21
11 23
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 11
12 23
12 24
13 0
13 1
13 2
13 3
13 4
13 5
13 6
13 7
13 8
13 11
13 18
13 23
13 24
14 0
14 1
14 2
14 3
14 4
14 5
14 6
14 7
14 8
14 11
14 23
14 24
18 0
18 1
18 2
18 3
18 4
18 5
18 6
18 7
18 8
18 11
18 23
18 24
20 0
20 1
20 2
20 3
20 4
20 5
20 6
20 7
20 8
20 11
20 23
20 24
21 0
21 23
